UNIT_CODE,UNIT_NAME,EVENT_NAME,STATE,LAT,LONG,DATE,PARK_URL,INAT_URL
ACAD,Acadia National Park,2016 National Parks BioBlitz - Acadia Lepidoptera BioBlitz,ME,44.3507318,-68.24410999,"Fri. July 22 - Sun. July 24, 2016",https://www.nps.gov/acad,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-acadia-lepidoptera-bioblitz
ANTI,Antietam National Battlefield,2016 National Parks BioBlitz - Antietam: Grassland Birds,MD,39.47010671,-77.7380518,"Sat. May 21, 2016",https://www.nps.gov/anti,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-antietam-grassland-birds
APIS,Apostle Islands National Lakeshore,2016 National Parks BioBlitz - Apostle Islands,WI,46.93671618,-90.57955662,"Sat. June 4, 2016",https://www.nps.gov/apis,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-apostle-islands
APCO,Appomattox Court House National Historical Park,2016 National Parks BioBlitz - Explore the Natural Side of Appomattox Court House,VA,37.38274761,-78.80089447,"Sat. May 21, 2016",https://www.nps.gov/apco,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-explore-the-natural-side-of-appomattox-court-house
ASIS,Assateague Island National Seashore,2016 National Parks BioBlitz - Assateague Island,"MD, VA",38.03902729,-75.24962442,"Sat. May 21, 2016",https://www.nps.gov/asis,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-assateague-island
AZRU,Aztec Ruins National Monument,2016 National Parks BioBlitz - Aztec Ruins BugBlitz: May,NM,36.83682198,-107.9999245,"Wed. May 18 - Thu. May 19, 2016",https://www.nps.gov/azru,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-aztec-ruins-bugblitz-may
AZRU,Aztec Ruins National Monument,2016 National Parks BioBlitz - Aztec Ruins BugBlitz: July,NM,36.839596,-107.995973,"Wed. July 20, 2016",https://www.nps.gov/azru,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-aztec-ruins-bugblitz-july
AZRU,Aztec Ruins National Monument,2016 National Parks BioBlitz - Aztec Ruins BugBlitz: September,NM,36.834478,-108.001209,"Tue. September 20, 2016",https://www.nps.gov/azru,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-aztec-ruins-bugblitz-september
BAND,Bandelier National Monument,2016 National Parks BioBlitz - Bandelier,NM,35.75757661,-106.3055099,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/band,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-bandelier
BELA,Bering Land Bridge National Preserve,2016 National Parks BioBlitz - Bering Land Bridge,AK,65.75704848,-163.9208061,"Thu. July 7 - Sun. July 10, 2016",https://www.nps.gov/bela,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-bering-land-bridge
BITH,Big Thicket National Preserve,2016 National Parks BioBlitz - Big Thicket Mini-BioBlitz,TX,30.20260051,-94.11767341,"Fri. October 14 - Sun. October 16, 2016",https://www.nps.gov/bith,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-big-thicket-mini-bioblitz
BOHA,Boston Harbor Islands National Recreation Area,2016 National Parks BioBlitz - Boston Harbor Islands,MA,42.26219884,-70.8761789,"Sat. September 24, 2016",http://www.bostonharborislands.org/,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-boston-harbor-islands
BUFF,Buffalo National River,2016 National Parks BioBlitz - Caddisflies of Buffalo National River,AR,35.968644,-92.91810617,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/buff,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-buffalo-national-river
